filename,width,height,class,xmin,ymin,xmax,ymax
hdr016.jpg,600,600,hdr,297,253,431,435
hdr017.jpg,600,600,hdr,234,214,392,424
hdr018.jpg,600,600,hdr,353,219,506,422
hdr019.jpg,600,600,hdr,346,240,459,387
hdr020.jpg,600,600,hdr,320,263,434,406
hdr021.jpg,600,600,hdr,353,258,476,420
hdr022.jpg,600,600,hdr,353,242,471,397
hdr023.jpg,600,600,hdr,384,402,505,563
hdr024.jpg,600,600,hdr,477,20,600,186
hdr025.jpg,600,600,hdr,294,143,410,301
hdr026.jpg,600,600,hdr,202,333,316,489
hdr027.jpg,600,600,hdr,33,399,144,552
hdr028.jpg,600,600,hdr,104,31,213,178
hdr029.jpg,600,600,hdr,61,100,168,247
hdr030.jpg,600,600,hdr,439,379,562,537
hdr031.jpg,600,600,hdr,464,394,587,551
hdr032.jpg,600,600,hdr,447,373,568,527
hdr033.jpg,600,600,hdr,237,237,378,421
hdr034.jpg,600,600,hdr,251,252,394,444
hdr035.jpg,600,600,hdr,234,283,374,462
hdr036.jpg,600,600,hdr,244,274,383,455
hdr037.jpg,600,600,hdr,223,276,369,473
hdr038.jpg,600,600,hdr,240,225,383,421
hdr039.jpg,600,600,hdr,261,268,406,457
hdr040.jpg,600,600,hdr,250,272,382,442
hdr041.jpg,600,600,hdr,262,218,431,440
hdr042.jpg,600,600,hdr,240,260,413,489
hdr043.jpg,600,600,hdr,271,300,422,502
hdr044.jpg,600,600,hdr,281,288,427,481
hdr045.jpg,600,600,hdr,306,261,429,423
hdr046.jpg,600,600,hdr,275,179,423,377
hdr047.jpg,600,600,hdr,347,229,467,375
hdr048.jpg,600,600,hdr,298,209,428,375
hdr049.jpg,600,600,hdr,310,284,441,458
hdr050.jpg,600,600,hdr,284,248,415,420
hdr051.jpg,600,600,hdr,296,204,433,383
hdr052.jpg,600,600,hdr,316,183,476,388
hdr053.jpg,600,600,hdr,285,204,423,392
hdr054.jpg,600,600,hdr,325,255,468,443
hdr055.jpg,600,600,hdr,224,215,356,395
hdr056.jpg,600,600,hdr,378,213,518,387
hdr057.jpg,600,600,hdr,311,195,460,382
hdr058.jpg,600,600,hdr,288,187,424,367
hdr059.jpg,600,600,hdr,435,383,586,577
hdr060.jpg,600,600,hdr,411,69,551,246
hdr061.jpg,600,600,hdr,291,253,406,412
hdr062.jpg,600,600,hdr,312,199,439,359
hdr063.jpg,600,600,hdr,417,313,565,506
hdr064.jpg,600,600,hdr,308,242,453,432
hdr065.jpg,600,600,hdr,297,176,445,377
hdr066.jpg,600,600,hdr,48,362,198,556
hdr067.jpg,600,600,hdr,378,123,516,301
hdr068.jpg,600,600,hdr,343,304,484,486
hdr069.jpg,600,600,hdr,153,173,284,354
hdr070.jpg,600,600,hdr,99,81,255,289
hdr071.jpg,600,600,hdr,68,158,223,362
hdr072.jpg,600,600,hdr,80,123,230,326
hdr073.jpg,600,600,hdr,327,287,488,501
hdr074.jpg,600,600,hdr,284,260,445,469
hdr075.jpg,600,600,hdr,247,283,390,474
hdr076.jpg,600,600,hdr,235,297,382,487
hdr077.jpg,600,600,hdr,247,268,361,420
hdr078.jpg,600,600,hdr,267,247,422,447
hdr079.jpg,600,600,hdr,234,190,386,395
hdr080.jpg,600,600,hdr,248,174,406,390
hdr081.jpg,600,600,hdr,275,190,439,410
hdr082.jpg,600,600,hdr,243,215,395,420
hdr083.jpg,600,600,hdr,235,211,376,402
hdr084.jpg,600,600,hdr,249,215,405,422
hdr085.jpg,600,600,hdr,292,117,468,350
hdr086.jpg,600,600,hdr,214,172,376,391
hdr087.jpg,600,600,hdr,431,433,550,588
hdr088.jpg,600,600,hdr,290,31,429,218
hdr089.jpg,600,600,hdr,376,309,488,458
hdr090.jpg,600,600,hdr,157,330,239,447
hdr091.jpg,600,600,hdr,423,215,541,362
hdr092.jpg,600,600,hdr,378,179,489,315
hdr093.jpg,600,600,hdr,456,277,572,425
hdr094.jpg,600,600,hdr,356,229,468,370
hdr095.jpg,600,600,hdr,419,283,538,428
hdr096.jpg,600,600,hdr,297,199,405,341
hdr097.jpg,600,600,hdr,332,220,441,359
hdr098.jpg,600,600,hdr,325,216,447,373
hdr099.jpg,600,600,hdr,386,335,475,447
hdr100.jpg,600,600,hdr,318,264,421,397
