filename,width,height,class,xmin,ymin,xmax,ymax
chu011.jpeg,224,224,chu,12,20,185,219
chu012.jpeg,224,224,chu,7,24,144,212
chu013.jpeg,224,224,chu,7,11,215,203
chu014.jpeg,224,224,chu,20,16,211,211
chu015.jpeg,224,224,chu,0,20,187,214
hwb011.jpeg,224,224,chu,122,94,199,160
hwb012.jpeg,224,224,chu,70,27,137,149
hwb013.jpeg,224,224,chu,5,53,219,195
hwb014.jpeg,224,224,chu,16,28,211,188
hwb015.jpeg,224,224,chu,11,54,214,147
mcg011.jpg,224,224,chu,7,23,220,208
mcg012.jpg,224,224,chu,6,6,219,221
mcg013.jpg,224,224,chu,10,30,219,178
mcg014.jpg,224,224,chu,7,35,220,188
mcg015.jpg,224,224,chu,13,53,212,175
mgt011.jpg,224,224,chu,57,106,128,135
mgt012.jpg,224,224,chu,30,96,209,157
mgt013.jpg,224,224,chu,13,69,219,151
mgt014.jpg,224,224,chu,21,38,163,174
mgt015.jpg,224,224,chu,110,34,134,209
roc011.jpeg,224,224,chu,18,14,204,220
roc012.jpeg,224,224,chu,21,47,184,179
roc013.jpeg,224,224,chu,11,21,218,207
roc014.jpeg,224,224,chu,12,20,182,210
roc015.jpeg,224,224,chu,19,66,151,158
slm011.jpg,224,224,chu,128,110,168,126
slm012.jpg,224,224,chu,40,40,224,184
slm013.jpg,224,224,chu,23,86,150,184
slm014.jpg,224,224,chu,68,65,202,196
slm015.jpg,224,224,chu,7,19,217,198
