filename,width,height,class,xmin,ymin,xmax,ymax
fft016.jpg,600,600,fft,47,29,600,600
fft017.jpg,600,600,fft,32,47,558,504
fft018.jpg,600,600,fft,66,28,543,484
fft019.jpg,600,600,fft,101,59,563,444
fft020.jpg,600,600,fft,0,230,580,575
fft021.jpg,600,600,fft,13,44,600,578
fft022.jpg,600,600,fft,40,26,586,582
fft023.jpg,600,600,fft,184,91,591,425
fft024.jpg,600,600,fft,33,30,585,562
fft025.jpg,600,600,fft,5,15,539,585
fft026.jpg,600,600,fft,0,15,580,590
fft027.jpg,600,600,fft,183,268,600,585
fft028.jpg,600,600,fft,8,276,555,589
fft029.jpg,600,600,fft,42,285,574,588
fft030.jpg,600,600,fft,26,291,356,573
fft031.jpg,600,600,fft,247,30,575,354
fft032.jpg,600,600,fft,65,27,595,421
fft033.jpg,600,600,fft,5,24,272,364
fft034.jpg,600,600,fft,111,209,559,504
fft035.jpg,600,600,fft,16,74,599,584
fft036.jpg,600,600,fft,176,65,573,593
fft037.jpg,600,600,fft,8,174,534,571
fft038.jpg,600,600,fft,29,10,421,530
fft039.jpg,600,600,fft,244,248,573,571
fft040.jpg,600,600,fft,29,245,353,570
fft041.jpg,600,600,fft,29,28,358,354
fft042.jpg,600,600,fft,17,24,311,358
fft043.jpg,600,600,fft,240,18,574,311
fft044.jpg,600,600,fft,288,241,571,576
fft045.jpg,600,600,fft,2,5,593,600
fft046.jpg,600,600,fft,14,184,330,600
fft047.jpg,600,600,fft,1,18,416,333
fft048.jpg,600,600,fft,266,0,587,414
fft049.jpg,600,600,fft,10,0,556,600
fft050.jpg,600,600,fft,39,0,590,600
fft051.jpg,600,600,fft,11,6,584,600
fft052.jpg,600,600,fft,0,0,600,600
fft053.jpg,600,600,fft,27,22,600,584
fft054.jpg,600,600,fft,18,12,587,592
fft055.jpg,600,600,fft,77,72,520,521
fft056.jpg,600,600,fft,47,37,555,564
fft057.jpg,600,600,fft,12,46,580,597
fft058.jpg,600,600,fft,29,9,576,596
fft059.jpg,600,600,fft,84,62,562,556
fft060.jpg,600,600,fft,29,16,563,600
fft061.jpg,600,600,fft,42,62,506,503
fft062.jpg,600,600,fft,26,221,490,511
fft063.jpg,600,600,fft,57,24,588,592
fft064.jpg,600,600,fft,125,225,321,574
fft065.jpg,600,600,fft,8,35,539,600
fft066.jpg,600,600,fft,112,52,493,558
fft067.jpg,600,600,fft,61,103,600,532
fft068.jpg,600,600,fft,43,66,558,502
fft069.jpg,600,600,fft,82,116,506,569
fft070.jpg,600,600,fft,149,78,544,560
fft071.jpg,600,600,fft,56,61,507,440
fft072.jpg,600,600,fft,28,158,559,593
fft073.jpg,600,600,fft,81,119,519,545
fft074.jpg,600,600,fft,79,82,523,550
fft075.jpg,600,600,fft,113,50,491,556
fft076.jpg,600,600,fft,6,47,587,575
fft077.jpg,600,600,fft,112,99,501,495
fft078.jpg,600,600,fft,77,63,520,531
fft079.jpg,600,600,fft,21,48,584,600
fft080.jpg,600,600,fft,79,160,465,489
fft081.jpg,600,600,fft,92,97,523,530
fft082.jpg,600,600,fft,76,75,508,518
fft083.jpg,600,600,fft,0,0,600,600
fft084.jpg,600,600,fft,0,42,600,589
fft085.jpg,600,600,fft,143,4,487,600
fft086.jpg,600,600,fft,8,0,600,600
fft087.jpg,600,600,fft,113,49,487,551
fft088.jpg,600,600,fft,79,87,523,545
fft089.jpg,600,600,fft,19,15,585,584
fft090.jpg,600,600,fft,18,0,577,600
fft091.jpg,600,600,fft,15,86,555,575
fft092.jpg,600,600,fft,73,102,574,473
fft093.jpg,600,600,fft,49,44,557,560
fft094.jpg,600,600,fft,49,44,552,559
fft095.jpg,600,600,fft,22,47,600,575
fft096.jpg,600,600,fft,61,19,600,584
fft097.jpg,600,600,fft,13,0,600,600
fft098.jpg,600,600,fft,105,53,499,553
fft099.jpg,600,600,fft,75,87,539,560
fft100.jpg,600,600,fft,111,50,487,552
